success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,rt,response,task,correct_response,correct,pred_class
TRUE,FALSE,[],[],[],preload,0,1371,0.0-0.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,,,,,,
,,,,,html-button-response,1,9656,0.0-1.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,8285,0,,,,
,,,,,html-button-response,2,63312,0.0-2.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,53652,0,,,,
,,,,,html-button-response,3,162189,0.0-3.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,98878,0,,,,
,,,,,html-keyboard-response,4,163949,0.0-4.0-0.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,5,266054,0.0-4.0-1.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,102066,1,response_1,Andrena flavipes,TRUE,
,,,,,html-keyboard-response,6,266562,0.0-4.0-0.1,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,7,293653,0.0-4.0-1.1,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,27079,3,response_1,Bombus hortorum,TRUE,
,,,,,html-keyboard-response,8,294410,0.0-4.0-0.2,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,9,320054,0.0-4.0-1.2,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,25563,4,response_1,Bombus lucorum,TRUE,
,,,,,html-keyboard-response,10,320559,0.0-4.0-0.3,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,11,375863,0.0-4.0-1.3,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,55298,3,response_1,Bombus lucorum,FALSE,
,,,,,html-keyboard-response,12,376371,0.0-4.0-0.4,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,13,386208,0.0-4.0-1.4,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,9832,1,response_1,Andrena flavipes,TRUE,
,,,,,html-keyboard-response,14,386709,0.0-4.0-0.5,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,15,407056,0.0-4.0-1.5,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,20339,5,response_1,Bombus pratorum,TRUE,
,,,,,html-button-response,16,410369,0.0-5.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,3310,0,,,,
,,,,,html-keyboard-response,17,410624,0.0-6.0-0.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,18,484599,0.0-6.0-1.0,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,73969,3,response_pred,Bombus pratorum,FALSE,Bombus lucorum
,,,,,html-keyboard-response,19,485352,0.0-6.0-0.1,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,20,494349,0.0-6.0-1.1,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,8990,2,response_pred,Andrena fulva,TRUE,Andrena fulva
,,,,,html-keyboard-response,21,495105,0.0-6.0-0.2,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
,,,,,image-button-response,22,536312,0.0-6.0-1.2,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,41198,3,response_pred,Bombus lucorum,FALSE,Bombus hortorum
,,,,,html-keyboard-response,23,537070,0.0-6.0-0.3,10,1,2023-03-14 19:08:02,95c447948bfde634df5be7bb21c2f1af,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,Macintosh,Firefox,110,OS X,10.15,null,null,fixation,,,
