success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,rt,response,task,correct_response,correct,pred_class,fbclid
TRUE,FALSE,[],[],[],preload,0,681,0.0-0.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,,,,,,,
,,,,,html-button-response,1,4350,0.0-1.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,3667,0,,,,,
,,,,,html-button-response,2,19608,0.0-2.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,15256,0,,,,,
,,,,,html-button-response,3,89989,0.0-3.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,70380,0,,,,,
,,,,,html-keyboard-response,4,91511,0.0-4.0-0.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,5,110076,0.0-4.0-1.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,18555,1,response_1,Andrena flavipes,TRUE,,
,,,,,html-keyboard-response,6,110338,0.0-4.0-0.1,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,7,129664,0.0-4.0-1.1,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,19320,0,response_1,Andrena flavipes,FALSE,,
,,,,,html-keyboard-response,8,129923,0.0-4.0-0.2,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,9,157300,0.0-4.0-1.2,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,27371,5,response_1,Bombus lucorum,FALSE,,
,,,,,html-keyboard-response,10,157806,0.0-4.0-0.3,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,11,173970,0.0-4.0-1.3,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,16165,4,response_1,Bombus pratorum,FALSE,,
,,,,,html-keyboard-response,12,174473,0.0-4.0-0.4,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,13,187033,0.0-4.0-1.4,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,12552,3,response_1,Bombus hortorum,TRUE,,
,,,,,html-keyboard-response,14,187790,0.0-4.0-0.5,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,15,198832,0.0-4.0-1.5,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,11035,4,response_1,Bombus hortorum,FALSE,,
,,,,,html-button-response,16,211224,0.0-5.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,12388,0,,,,,
,,,,,html-keyboard-response,17,211482,0.0-6.0-0.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,18,218293,0.0-6.0-1.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,6804,1,response_pred,Andrena bicolor,FALSE,Andrena bicolor,
,,,,,html-keyboard-response,19,218809,0.0-6.0-0.1,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,20,230718,0.0-6.0-1.1,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,11902,3,response_pred,Bombus lucorum,FALSE,Bombus hortorum,
,,,,,html-keyboard-response,21,230987,0.0-6.0-0.2,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,22,239223,0.0-6.0-1.2,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,8229,5,response_pred,Bombus pratorum,TRUE,Bombus lucorum,
,,,,,html-keyboard-response,23,239736,0.0-6.0-0.3,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,24,246003,0.0-6.0-1.3,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,6262,4,response_pred,Bombus hortorum,FALSE,Bombus pratorum,
,,,,,html-keyboard-response,25,246757,0.0-6.0-0.4,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,26,253505,0.0-6.0-1.4,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,6741,2,response_pred,Andrena fulva,TRUE,Andrena fulva,
,,,,,html-keyboard-response,27,253772,0.0-6.0-0.5,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,28,258550,0.0-6.0-1.5,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,4771,1,response_pred,Andrena flavipes,TRUE,Andrena flavipes,
,,,,,html-button-response,29,265621,0.0-7.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,7067,0,,,,,
,,,,,html-keyboard-response,30,266125,0.0-8.0-0.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
