INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	27a3510c-c13c-4bee-87fb-2eca53fe1823	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	4715840f-5e31-4011-a972-2d29ab74f60e	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	19280cee-8272-4788-81da-6ade537831f0	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/9ZnDjn1/Andrena-fulva-16795311-1-easy.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	e0ff2c20-0366-456c-8242-ab357aa73cb2	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/qCtNVTd/Andrena-bicolor-53755527-1-easy.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	acace5c0-1621-4af0-85b6-19863bb2839f	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	2b608f19-6b24-4d1d-8eac-d2cf6ee42a83	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/wYYjZ8g/Andrena-fulva-41818491-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	d6b50ba7-df9d-40a5-8abe-1a7d1141bf10	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	f98742ac-21bc-4d7c-bf07-abfdaf41dc2e	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	bab3f97c-1fa2-443c-8fde-e8cbf6e591ff	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
https://i.ibb.co/9gyjL4s/Andrena-fulva-71290622-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42741630/00028c2f7e--65b0e23f753d7e7cfc34ff84	0bbb367f-c067-41ed-9472-68cf78579248	00028c2f7e--65b0e23f753d7e7cfc34ff84	00028c2f7e--65b0e07bacc1b67a2f76b8d5	df91f2263f26d9590e8c6551e320d8db	APPROVED	2024-01-24T10:11:11.457	2024-01-24T10:14:26.717	+	
