INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/8KxVj4r/Andrena-flavipes-5795371-2-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	787177a5-d92c-409d-a126-78eb630be7e2	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	7dceba6e-5ded-4af1-9dc9-b3a2a7c090df	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/3sfvGpz/Andrena-fulva-43172780-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	b75569ad-ffe6-423a-8e48-044f134520e9	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/vzrPWf9/Andrena-fulva-70057243-5-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	4ceab39f-f138-4eb8-8a79-1879ad67d41c	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	787f364a-48cd-4e6d-88ff-0c563d939476	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	651be7d4-da9e-43bf-a8b9-5edf99ffee00	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/t3HdXFV/Andrena-flavipes-18165663-1-easy.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	bc0d57d2-7f10-40ce-9061-aeaba171fa92	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/4S0sVTm/Andrena-fulva-70388239-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	2f145bde-5f87-4533-ba54-b0b8d24f6afb	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	aa713693-e9a6-4dd1-a72e-532a0dc6342f	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/0BzwBz1/Andrena-bicolor-39411385-1-hard-corr.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	112e4779-45bb-4a2a-a851-33ea0513e337	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/Z8JP2QM/Andrena-flavipes-40178244-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	929625c4-4675-4e36-984b-3dcf24378ec4	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/hfPtKTc/Andrena-flavipes-74134704-3-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	f55c771a-4a73-4ad7-b624-ea26e96f45fa	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/WW10krw/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	b8ed3b8a-cbb0-4e6e-a4e5-b307f6387686	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/qrNcXtJ/Andrena-fulva-90803821-3-hard-corr.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	f690dd41-7d88-4907-85b4-8a01aa91787d	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/2532YvH/Andrena-bicolor-53755527-1-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	9dc3c591-81c7-4c22-be96-9e2b8647aca6	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/bPcnSZ2/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	7e8734ee-0c6e-4786-9b2b-09b89acb40b3	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/4M7x8yg/Andrena-flavipes-49603112-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	7c93d30c-cc4f-424f-80fa-57a65fce58b1	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/xFPFR8s/Andrena-fulva-41775092-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	a918515a-1505-4460-a7ac-2ea7d8d49593	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/4Rs3MMs/Andrena-flavipes-50557228-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	e2ef15bb-d63c-4257-ac24-d76c63947741	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/PFtZMd0/Andrena-fulva-78595111-1-hard-wrong.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	94dc52a0-04e3-49ba-b159-672179a67356	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	f2681989-23a0-4f14-82f1-64f4104de983	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	e57d78cf-b57c-4db4-90cc-a4f5676eb922	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/Km1xyyf/Andrena-fulva-70388818-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	6a9aff66-bf3c-4912-93eb-de8078222d4f	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	25db6a66-631a-48d7-b492-875f68303f8a	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/WtxTM22/Andrena-flavipes-41750715-1-easy.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	4dbd42ee-91fe-4805-a343-a9b9a340d775	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/tq10DjQ/Andrena-fulva-41623103-3-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	ef63a999-e701-4ae4-bcd0-c4529bda1bbd	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	fe0b5adf-a8bc-4a86-b99c-fc34c2feeae8	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	35518f20-68b5-434a-8376-3b9c733d0cd3	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/wYYjZ8g/Andrena-fulva-41818491-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	fecc9303-71ff-47e9-a65f-7f128d1594bc	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/0MvjzQn/Andrena-flavipes-75178065-1-hard-wrong.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd828543cd35382c9681d	3be2e8c6-daec-48e3-b306-6018d9e89e7b	00028c9211--65bbd828543cd35382c9681d	8fcedfa9663f06138b35333f44d17348	SUBMITTED	2024-02-01T17:43:04.648		
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	1f7e7551-b916-4bfb-97e3-e67f4916fb8e	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/6g92FP2/Andrena-bicolor-71835166-1-easy.jpg	fulva	"""fulva"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	645389f9-6e79-4c14-9c5a-4b27371e60de	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/wy5wTM5/Andrena-bicolor-70836009-2-easy.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	7b466a44-bc85-4010-bfd9-0298f365690c	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	63c8bede-4ed9-4520-a3d5-d4ffe2c91cfb	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	74106feb-2852-4e9c-8f89-c7c5426b4c56	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/KjLf0VP/Andrena-flavipes-22101904-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	d9daa29d-dde9-482e-b250-88919a98c68e	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/4S0sVTm/Andrena-fulva-70388239-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	70a5e834-ca32-4321-8734-0efb720d85e0	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	8bfcfdc3-41e1-454f-a34a-e3635612e647	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/mG291HR/Andrena-bicolor-2799379-1-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	ad463230-c181-4c11-98fc-90aaba342c78	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	c7b1ab89-a6ea-45f3-93af-0e4f0d61807d	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/mFSfdGQ/Andrena-fulva-71290622-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	5ecd8592-7922-4ed2-9de3-f950220faece	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/PFJJD2g/Andrena-fulva-20995537-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	0d12b2df-f611-40c0-b938-465e00aedf41	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/1X1ZFk0/Andrena-flavipes-75178065-1-hard-wrong.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	44fa160b-9e08-4abb-989d-0c67621fb564	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/3yWyy66/Andrena-flavipes-18165663-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	4d513460-1ab8-4da6-8e01-355c51339c59	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/x2k1NZT/Andrena-fulva-83947290-1-hard-wrong.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	c45e3384-b954-4bde-a144-21214d27701b	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/NW1sz3c/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	49f5cad2-7df7-481b-82e6-5cbd79206b02	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/PFtZMd0/Andrena-fulva-78595111-1-hard-wrong.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	db7cc57a-5216-4a27-bc2a-ecaa78e24c01	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/qrNcXtJ/Andrena-fulva-90803821-3-hard-corr.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	e69dc94c-7153-49d5-baf0-47ae48a559d3	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/g72SbzP/Andrena-fulva-43172780-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	6a40b959-c996-4338-b3a5-4b3c193485a9	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/0jh91D8/Andrena-fulva-70057243-5-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	4d4dc64e-3729-4f9f-983f-c35783eaefcf	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	73092e4f-eada-485a-b808-8da5b892258a	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	63aee883-1867-42f6-b585-641ab70e28f6	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/8KxVj4r/Andrena-flavipes-5795371-2-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	1cae3251-ff59-4dc2-a1eb-bc0ac23e6499	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	ad825e61-9786-4db1-9f29-6675b5ff2ebc	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/qCtNVTd/Andrena-bicolor-53755527-1-easy.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	526e0342-aead-48e2-9dfc-fa7671fbeee9	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	83627c70-7348-4cee-bb9f-2f02a23ba9cf	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	e6c23506-a15e-474b-aa8f-a915902bbab5	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	7a76b4b4-a74f-4c9a-a13d-e529d642ec54	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/ZYdWQsV/Andrena-flavipes-50557228-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	e6c23ab1-a7ef-4dc5-951c-0e54ce7245e5	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/ngt8zxg/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd831156fa003ebe8dee4	4452484d-11cc-4404-9abd-d2755f6078aa	00028c9211--65bbd831156fa003ebe8dee4	fc9c44416f9554b226f348ce9fc00b37	SUBMITTED	2024-02-01T17:43:13.464		
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd83e543cd35382c969c1	2851e7bb-6ed2-4b2b-9ace-d9ebf23de765	00028c9211--65bbd83e543cd35382c969c1	c5b8afeb93034f7a09d34efb83b664f3	SUBMITTED	2024-02-01T17:43:26.821		
https://i.ibb.co/9ZnDjn1/Andrena-fulva-16795311-1-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd83e543cd35382c969c1	74d2f99d-6a67-4e6a-9bd3-8186e9ebf072	00028c9211--65bbd83e543cd35382c969c1	c5b8afeb93034f7a09d34efb83b664f3	SUBMITTED	2024-02-01T17:43:26.821		
https://i.ibb.co/vv6FB8F/Andrena-fulva-101552423-1-easy.jpg	bicolor	"""bicolor"""	fulva				https://platform.toloka.ai/task/42766865/00028c9211--65bbd83e543cd35382c969c1	2bdec9d6-35d2-49f4-b411-7daedd90d22b	00028c9211--65bbd83e543cd35382c969c1	c5b8afeb93034f7a09d34efb83b664f3	SUBMITTED	2024-02-01T17:43:26.821		
https://i.ibb.co/ZYdWQsV/Andrena-flavipes-50557228-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766865/00028c9211--65bbd83e543cd35382c969c1	29f8243f-adf9-4903-b37c-f55d0c0f222a	00028c9211--65bbd83e543cd35382c969c1	c5b8afeb93034f7a09d34efb83b664f3	SUBMITTED	2024-02-01T17:43:26.821		
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	fulva	"""fulva"""	bicolor				https://platform.toloka.ai/task/42766865/00028c9211--65bbd83e543cd35382c969c1	70888a7b-fb57-40a7-a876-95adba2df215	00028c9211--65bbd83e543cd35382c969c1	c5b8afeb93034f7a09d34efb83b664f3	SUBMITTED	2024-02-01T17:43:26.821		
