INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	b7defda3-7dff-4212-8f3d-6f45e40924ee	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/qsPq9DV/Andrena-fulva-24752696-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	303dbb33-c548-4c40-b83a-b639d9c67366	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/Km1xyyf/Andrena-fulva-70388818-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	12e963f9-6cc9-447c-b74c-fd4ef7683ce4	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/vv6FB8F/Andrena-fulva-101552423-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	d9798afb-d8c9-40a2-862c-9f2be77b7bee	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	68580f3c-3048-4137-bc09-4167f113009f	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	fulva	"""fulva"""	flavipes				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	4c9476ba-87cc-41fa-b2ac-d467afd8a28c	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/W2fySWs/Andrena-fulva-90803821-3-hard-corr.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	5c374f6d-8cc3-44c3-8928-cbf692396e67	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	bicolor	"""bicolor"""	flavipes				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	20eaa165-69c7-48e2-9b9b-e1961b532e41	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	04e745d0-1c1c-4dc2-9a6e-b2aa317006a8	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
https://i.ibb.co/vzrPWf9/Andrena-fulva-70057243-5-easy.jpg	flavipes	"""flavipes"""	fulva				https://platform.toloka.ai/task/42766903/00028c9237--65bbe8677e61f1055b1022f6	609ceae0-df5d-4a0c-ad64-e87f52f571a3	00028c9237--65bbe8677e61f1055b1022f6	00028c9237--65bbd15e156fa003ebe85b20	6bbf39e4d549a21476bbd1513cfb4754	APPROVED	2024-02-01T18:52:23.650	2024-02-01T18:54:47.248	+	
