INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/HGpYtv0/Andrena-fulva-41775092-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	4db4c8f4-e1b9-4f3a-9024-28cec1f1fada	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	4b473643-83a8-4170-9a34-9aee1d5df8f8	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	5c3912bc-6458-4596-a7d2-a268adfce49f	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/tq10DjQ/Andrena-fulva-41623103-3-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	688e60d5-2ab4-473e-aecd-f98f6be7f42d	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/wYYjZ8g/Andrena-fulva-41818491-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	38d6bbf8-0c45-4408-8aff-194d0c4066e6	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	994f4b56-7361-4d8b-8df9-4cbd6536e3a4	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	4a710ff4-0e4e-4037-ba83-9f70c2c4c1d9	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	a32701f5-a7c4-43e6-bff2-c4acf2e80d85	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes	"""flavipes"""	flavipes				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	8c5d9486-6b1b-4d11-999c-e12e7c94de04	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	1e9ba838-c803-4204-872c-2ca64aae925d	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/x8z1Lfj/Andrena-bicolor-70836009-2-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	f48a2416-af0a-416a-864c-f31bea84384e	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/DMj6t1h/Andrena-fulva-70388818-1-easy.jpg	fulva	"""fulva"""	fulva				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	ee058a9f-e86d-4c06-be9a-3bc1414785ac	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/MsPMrfy/Andrena-bicolor-70615494-2-hard-wrong.jpg	flavipes	"""flavipes"""	bicolor				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	6f861cd8-ce0a-45c5-96e3-11f00636ad01	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/9sXQHsD/Andrena-bicolor-40186737-3-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	92aabed9-30b0-4354-a2a8-97f58601b7d5	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
https://i.ibb.co/gR0hmGS/Andrena-bicolor-2799379-1-easy.jpg	bicolor	"""bicolor"""	bicolor				https://platform.toloka.ai/task/42766905/00028c9239--65bbfeee273ade4c3d973b93	5f13d8bd-bb5a-4d17-b4d0-cf704e4823be	00028c9239--65bbfeee273ade4c3d973b93	00028c9239--65bbd196a262042a398eebc7	92256fd25afec16467ef2723fb573304	APPROVED	2024-02-01T20:28:30.836	2024-02-01T20:31:25.015	+	
