INPUT:image	GOLDEN:result
https://i.ibb.co/CJnXWjW/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/TbFQCCG/Andrena-bicolor-39411385-1-hard.jpg	bicolor
https://i.ibb.co/z7ZjZwT/Andrena-bicolor-40186737-3-easy.jpg	bicolor
https://i.ibb.co/YbSQvTg/Andrena-bicolor-71944410-1-hard.jpg	bicolor
https://i.ibb.co/ck5Bznt/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/XjhG4w6/Andrena-flavipes-41517541-1-easy.jpg	flavipes
https://i.ibb.co/f8cHcVH/Andrena-flavipes-68999685-1-hard.jpg	flavipes
https://i.ibb.co/7WYrMt0/Andrena-flavipes-74766389-2-hard.jpg	flavipes
https://i.ibb.co/F5Mhspp/Andrena-fulva-25074448-1-hard.jpg	fulva
https://i.ibb.co/6XzN5Qz/Andrena-fulva-41623103-3-easy.jpg	fulva
https://i.ibb.co/qRsH690/Toloka-Img-Task2-Bees-1.jpg	bicolor
https://i.ibb.co/yXvwSjp/Toloka-Img-Task2-Bees-2.jpg	flavipes
https://i.ibb.co/qBL1Qkv/Toloka-Img-Task2-Bees-3.jpg	flavipes
https://i.ibb.co/N1Cv17p/Toloka-Img-Task2-Bees-4.jpg	flavipes
https://i.ibb.co/8XgfZ53/Toloka-Img-Task2-Bees-5.jpg	flavipes
https://i.ibb.co/JmCyTxg/Toloka-Img-Task2-Bees-6.jpg	flavipes
https://i.ibb.co/JmxTm4G/Toloka-Img-Task2-Bees-7.jpg	fulva
https://i.ibb.co/JHdKfnz/Toloka-Img-Task2-Bees-8.jpg	fulva
https://i.ibb.co/Z8rsMQj/Toloka-Img-Task2-Bees-9.jpg	bicolor
https://i.ibb.co/MNtV7YS/Toloka-Img-Task2-Bees-10.jpg	fulva
https://i.ibb.co/fSxSk4G/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/cTGKhBY/Andrena-bicolor-70513296-4-hard.jpg	bicolor
https://i.ibb.co/2Wt3pMw/Andrena-bicolor-70615494-2-hard.jpg	bicolor
https://i.ibb.co/8rh8mNB/Andrena-bicolor-72391501-4-hard.jpg	bicolor
https://i.ibb.co/4sHZFns/Andrena-flavipes-41750715-1-easy.jpg	flavipes
https://i.ibb.co/vQfvJ0C/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/qkRZ5ch/Andrena-flavipes-75178065-1-hard.jpg	flavipes
https://i.ibb.co/vvZmRTD/Andrena-flavipes-91695281-1-hard.jpg	flavipes
https://i.ibb.co/sjpPRf3/Andrena-fulva-41818491-1-easy.jpg	fulva
https://i.ibb.co/Lz51Gvm/Andrena-fulva-43172780-1-easy.jpg	fulva
