INPUT:image	GOLDEN:result
https://i.ibb.co/QF0G5F6/2351007404-116814-paludosa-hard-wrong.jpg	paludosa
https://i.ibb.co/vsqw6Ly/2864911359-138239-emetica-hard-wrong.jpg	emetica
https://i.ibb.co/kDX7Q79/2238557145-181398-rosea-easy.jpg	rosea
https://i.ibb.co/CQMXrHX/2238516354-99537-emetica-easy.jpg	emetica
https://i.ibb.co/LCpbfk9/2816371320-208185-rosea-hard-wrong.jpg	rosea
https://i.ibb.co/X3TKc4h/2804911323-58965-paludosa-hard-corr.jpg	paludosa
https://i.ibb.co/M1QL2C4/2238525479-100973-emetica-hard-corr.jpg	emetica
https://i.ibb.co/yQ0fTYm/2825699332-358618-paludosa-easy.jpg	paludosa
https://i.ibb.co/s5mXssj/2238496763-22313-rosea-easy.jpg	rosea
https://i.ibb.co/sWm5c1s/2821586324-134297-paludosa-easy.jpg	paludosa
https://i.ibb.co/Ntt2hLg/2821596350-208812-paludosa-easy.jpg	paludosa
https://i.ibb.co/Y7wYVLM/2821605349-134687-paludosa-hard-wrong.jpg	paludosa
https://i.ibb.co/2Kp6Fv7/2238499128-22732-emetica-hard-wrong.jpg	emetica
https://i.ibb.co/qFrpzTw/2860297401-285168-rosea-easy.jpg	rosea
https://i.ibb.co/jWwCWN9/2237962603-4766-rosea-hard-corr.jpg	rosea
https://i.ibb.co/m0xRbvR/2238558922-331170-rosea-easy.jpg	rosea
https://i.ibb.co/LQYmdWc/2238181740-157264-rosea-hard-corr.jpg	rosea
https://i.ibb.co/Hq86R27/2238562101-256323-rosea-easy.jpg	rosea
https://i.ibb.co/g3nTgz5/2427874875-195990-emetica-hard-corr.jpg	emetica
https://i.ibb.co/yXpQ4Qs/2816360336-282386-rosea-easy.jpg	rosea
https://i.ibb.co/DQs1MY9/2238498044-96507-paludosa-hard-wrong.jpg	paludosa
https://i.ibb.co/Yk65Fbr/2238191212-307191-emetica-hard-corr.jpg	emetica
https://i.ibb.co/mcbp7s3/2238550115-179929-rosea-easy.jpg	rosea
https://i.ibb.co/ngSGTfh/2883264346-290566-paludosa-hard-corr.jpg	paludosa
