INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/LCpbfk9/2816371320-208185-rosea-hard-wrong.jpg	paludosa	"""paludosa"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	cd0c90de-00ab-4108-89e3-b8763586107f	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/d76fyd3/2294394889-115688-paludosa-easy.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	4e5bfdb3-115d-4940-a6c1-2a4b8cec7fc7	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/mcbp7s3/2238550115-179929-rosea-easy.jpg	emetica	"""emetica"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	34bc63f2-90cc-4db4-9cfd-8a7e9671090f	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/tKfxBPR/2238525451-249039-emetica-hard-corr.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	d668ec20-310a-4c7f-8ef6-697df79b0751	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/VNJgtBg/2274829523-41010-paludosa-hard-corr.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	457af33c-b328-40d4-848d-0c70e6491f6b	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/s5mXssj/2238496763-22313-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	d809f06e-a29d-4ddd-b634-72d495eb7941	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/ccsx0LJ/2821605349-134687-paludosa-hard-wrong.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	62adfa0a-b660-4e1a-83e6-158ae25cc4fc	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/wQzsT0H/2238549789-105601-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	c0eab5e2-e671-4015-8460-af2021e03f1a	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/CHkwKTs/2862691446-286040-paludosa-hard-corr.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	0507d1d6-8494-42a4-bf4d-7ae5afaec06a	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/hc4GCbx/2427872317-344701-emetica-easy.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	5e9e4389-e31f-49d9-a1bc-dbca65f7c0e6	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/SQLTfxp/2816360336-282386-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	0cb41666-2c5e-442d-a399-38d84ddc3529	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/zJVn5dX/2238574628-36357-emetica-hard-corr.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	a6fd3a76-2d04-477c-a185-bc1a0e59261f	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/gMc13yL/2238498044-96507-paludosa-hard-wrong.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	4055f63d-5f0c-48a5-80f0-7f6cea9cc00d	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/6P45x05/2430663975-196230-emetica-easy.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	50964049-89b3-4847-a7c6-e1890c042d93	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/gZ2Jr4t/2825699332-358618-paludosa-easy.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	167df293-c8eb-4eaf-b73a-532adeb25ec1	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/K2r4MpW/2238159226-230577-rosea-hard-corr.jpg	emetica	"""emetica"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	9e821af6-48ce-4117-8e78-ec5afec3d4fd	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/y0cqGzf/2427874875-195990-emetica-hard-corr.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	297ac730-e601-4129-8a62-2c33a9abde9e	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/nPSCxy3/2860297401-285168-rosea-easy.jpg	emetica	"""emetica"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	63fbf21c-d505-4d13-b374-ec20ef440bba	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/F3P8zQ5/2421822085-193341-emetica-easy.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	c7978671-106d-4078-bbf3-966c19700845	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/3vFkD4h/2238156730-156328-rosea-hard-wrong.jpg	paludosa	"""paludosa"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	f811940e-9ba0-4718-9613-218530ac8b54	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/2h1p6GD/2421822955-193501-emetica-easy.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	de62fe1d-74c2-42de-8aa9-dfe0105fd451	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/QknR0FN/2238495908-22170-paludosa-easy.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	4b346154-6efb-4a30-8663-337b3e875e78	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
https://i.ibb.co/QF0G5F6/2351007404-116814-paludosa-hard-wrong.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe308273ade4c3d94fa37	dacdc844-8248-473d-a3c6-6a433a2b8e95	00028c9251--65bbe308273ade4c3d94fa37	00028c9251--65bbd408d77b751257ffbd3e	d2eb1ff8f8f77eca58e72afdea81bf84	APPROVED	2024-02-01T18:29:28.103	2024-02-01T18:33:51.209	+	
