ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9251--65bbe306273ade4c3d94fa25	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe308273ade4c3d94fa37	+	
00028c9251--65bbe3755140ac16b302d652	+	
00028c9251--65bbe397543cd35382ca4b5c	+	
00028c9251--65bbe3b1543cd35382ca4db3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe3b37e61f1055b0fbda1	+	
00028c9251--65bbe3b6543cd35382ca4df4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe3ba543cd35382ca4e33	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe3bf273ade4c3d95094b	+	
00028c9251--65bbe3c75140ac16b302ddc3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe3e1543cd35382ca5145	+	
00028c9251--65bbe3ea7e61f1055b0fc19b	+	
00028c9251--65bbe3f5156fa003ebe9c87c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe3fe156fa003ebe9c950	+	
00028c9251--65bbe404543cd35382ca5471	+	
00028c9251--65bbe4105140ac16b302e301	+	
00028c9251--65bbe4125140ac16b302e319	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe421543cd35382ca571f	+	
00028c9251--65bbe445543cd35382ca59cb	+	
00028c9251--65bbe4467e61f1055b0fc979	+	
00028c9251--65bbe449273ade4c3d9513b5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe458273ade4c3d95151a	+	
00028c9251--65bbe458273ade4c3d951522	+	
00028c9251--65bbe4657e61f1055b0fcc07	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe46c156fa003ebe9d3b0	+	
00028c9251--65bbe472543cd35382ca5d86	+	
00028c9251--65bbe493156fa003ebe9d713	+	
00028c9251--65bbe49c543cd35382ca60d2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe4b4543cd35382ca6298	+	
00028c9251--65bbe4d2156fa003ebe9dc43	+	
00028c9251--65bbe4d6156fa003ebe9dcab	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe4dd5140ac16b302f519	+	
00028c9251--65bbe4e1273ade4c3d952102	+	
00028c9251--65bbe4f15140ac16b302f69c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe502543cd35382ca68a9	+	
00028c9251--65bbe510273ade4c3d9524e0	+	
00028c9251--65bbe5145140ac16b302f95b	+	
00028c9251--65bbe51a273ade4c3d9525b3	+	
00028c9251--65bbe51b543cd35382ca6ab3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe5277e61f1055b0fdcb0	+	
00028c9251--65bbe528543cd35382ca6b61	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe529273ade4c3d9526e1	+	
00028c9251--65bbe529543cd35382ca6bad	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe52a543cd35382ca6bc3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe530156fa003ebe9e4b4	+	
00028c9251--65bbe5375140ac16b302fc31	+	
00028c9251--65bbe5555140ac16b302feed	+	
00028c9251--65bbe5587e61f1055b0fe057	+	
00028c9251--65bbe56d156fa003ebe9e962	+	
00028c9251--65bbe57a543cd35382ca724c	+	
00028c9251--65bbe5957e61f1055b0fe563	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe5a0543cd35382ca753e	+	
00028c9251--65bbe5a55140ac16b3030515	+	
00028c9251--65bbe5a75140ac16b303052f	+	
00028c9251--65bbe5dd5140ac16b30309fc	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe5e25140ac16b3030a45	+	
00028c9251--65bbe5eb7e61f1055b0fec47	+	
00028c9251--65bbe5f1156fa003ebe9f5bf	+	
00028c9251--65bbe60b156fa003ebe9f866	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe60e543cd35382ca7f71	+	
00028c9251--65bbe61c7e61f1055b0ff0dc	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe63a543cd35382ca837f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe63a543cd35382ca8384	+	
00028c9251--65bbe63c273ade4c3d9541b0	+	
00028c9251--65bbe64d5140ac16b30315ce	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe64f273ade4c3d954307	+	
00028c9251--65bbe656156fa003ebe9ff94	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe667156fa003ebea016b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe66c156fa003ebea01bb	+	
00028c9251--65bbe693273ade4c3d9548f7	+	
00028c9251--65bbe6937e61f1055b0ffc95	+	
00028c9251--65bbe69b543cd35382ca8bee	+	
00028c9251--65bbe69c5140ac16b3031e5e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe6b3156fa003ebea09c7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe6c1543cd35382ca8f6a	+	
00028c9251--65bbe6d5273ade4c3d954f63	+	
00028c9251--65bbe6e6156fa003ebea0db0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe6e8156fa003ebea0dfb	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe6ee5140ac16b3032418	+	
00028c9251--65bbe6f95140ac16b30324c8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe6fe543cd35382ca952e	+	
00028c9251--65bbe702543cd35382ca955f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe704543cd35382ca9580	+	
00028c9251--65bbe705543cd35382ca958a	+	
00028c9251--65bbe7095140ac16b3032612	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe71a543cd35382ca96f7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe723156fa003ebea1217	+	
00028c9251--65bbe73f543cd35382ca9a07	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe76e5140ac16b3032e5a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe773273ade4c3d955afb	+	
00028c9251--65bbe78a156fa003ebea1b90	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe78a543cd35382caa0ce	+	
00028c9251--65bbe7a0543cd35382caa2fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7a3156fa003ebea1ddd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7b05140ac16b30333b1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7b55140ac16b3033460	+	
00028c9251--65bbe7b8543cd35382caa4d8	+	
00028c9251--65bbe7bc156fa003ebea1fc4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7bd273ade4c3d95619d	+	
00028c9251--65bbe7d4543cd35382caa716	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7d57e61f1055b101762	+	
00028c9251--65bbe7d8273ade4c3d9563a6	+	
00028c9251--65bbe7dc156fa003ebea224e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7dc7e61f1055b10181b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7e65140ac16b303385e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7e7273ade4c3d956514	+	
00028c9251--65bbe7ee156fa003ebea235b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7fc7e61f1055b101a53	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe7fe543cd35382caab03	+	
00028c9251--65bbe801156fa003ebea24f1	+	
00028c9251--65bbe81a156fa003ebea2767	+	
00028c9251--65bbe826273ade4c3d956aa9	+	
00028c9251--65bbe82f273ade4c3d956afd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe8355140ac16b3034031	+	
00028c9251--65bbe835543cd35382caaea0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe842273ade4c3d956c9b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe842543cd35382caafed	+	
00028c9251--65bbe846156fa003ebea2aa5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe84b7e61f1055b102056	+	
00028c9251--65bbe84e156fa003ebea2b15	+	
00028c9251--65bbe860273ade4c3d956f5a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe875273ade4c3d95718c	+	
00028c9251--65bbe87d5140ac16b3034590	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe880543cd35382cab55f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe8935140ac16b3034739	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe8c0156fa003ebea33f8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe8c5273ade4c3d957866	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
