INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/prnKspJ/2421822085-193341-emetica-easy.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	c1039896-b10f-4805-a48c-c3bc1bfa28c8	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/gyQ7SRP/2430663975-196230-emetica-easy.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	a96642a2-c984-4146-b123-2ef07a33562d	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/CHkwKTs/2862691446-286040-paludosa-hard-corr.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	6f614c80-2a29-4c03-b690-430d5eed048b	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/1bmTZ5m/2238330932-309495-rosea-hard-corr.jpg	emetica	"""emetica"""	rosea				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	6ec73298-f4a4-4714-ba84-dc8b10ee6fe8	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/CQMXrHX/2238516354-99537-emetica-easy.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	27689b22-bf32-4f31-bd6c-e0ea58b63165	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/Vmzcg91/2238499128-22732-emetica-hard-wrong.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	b15732b0-1b62-44d0-a8fd-55ea58c09668	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/4R2N9Qc/2351007469-116832-paludosa-easy.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	602e6577-813c-4ed2-bbc8-b9d4c5228b85	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/Yk65Fbr/2238191212-307191-emetica-hard-corr.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	5c5d10d2-ff63-4d22-9587-784358f10506	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/ccsx0LJ/2821605349-134687-paludosa-hard-wrong.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	d42700b3-468c-4770-9d67-addf67b00b89	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/Np6VvpX/2868475364-138842-paludosa-easy.jpg	rosea	"""rosea"""	paludosa				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	3246bba0-c480-4b91-a692-8f8f43b196e0	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/CWpdgvx/2874314491-289674-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	71559a40-514b-4dc8-b9da-bd2a99d52f40	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/t23t2Zs/2860297401-285168-rosea-easy.jpg	emetica	"""emetica"""	rosea				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	b6f2c6a7-7c50-48d0-8ea1-d44acf280d26	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/YPbmHTR/2238547436-253120-emetica-hard-wrong.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	00d5a9d8-5e37-402b-bf9f-9f38cb049e99	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
https://i.ibb.co/Lgm3tdK/2238481194-93992-emetica-easy.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766931/00028c9253--65bbd69f7e61f1055b0eb26d	2e58f5d8-1809-46c3-b74e-86e24a7bb8f2	00028c9253--65bbd69f7e61f1055b0eb26d	00028c9253--65bbd440ae575767e6b85cc5	33a63fc906f7855f00f7d55b2e59171c	APPROVED	2024-02-01T17:36:31.827	2024-02-01T17:41:16.766	+	
