INPUT:image	GOLDEN:result
https://i.ibb.co/M6mvjXH/2238067187-303195-emetica-hard.jpg	emetica
https://i.ibb.co/FXJwJBh/2238181740-157264-rosea-hard.jpg	rosea
https://i.ibb.co/MR6R5KV/2238558368-33201-rosea-easy.jpg	rosea
https://i.ibb.co/QvwdD1K/2351007469-116832-paludosa-easy.jpg	paludosa
https://i.ibb.co/z7ynZq3/2383042506-265760-paludosa-easy.jpg	paludosa
https://i.ibb.co/7W6wshh/2421822208-44894-emetica-hard.jpg	emetica
https://i.ibb.co/tY2rf5w/2804911323-58965-paludosa-hard.jpg	paludosa
https://i.ibb.co/MM4FP33/2831347320-209365-paludosa-hard.jpg	paludosa
https://i.ibb.co/ctNrvBH/2883262446-290467-rosea-easy.jpg	rosea
https://i.ibb.co/zJd3PZZ/2901938417-367622-emetica-easy.jpg	emetica
https://i.ibb.co/9yX5Wgp/Toloka-Img-Task2-Fungi-1.jpg	emetica
https://i.ibb.co/RBbbG9H/Toloka-Img-Task2-Fungi-2.jpg	emetica
https://i.ibb.co/4YhcKqK/Toloka-Img-Task2-Fungi-3.jpg	emetica
https://i.ibb.co/NTYtcGg/Toloka-Img-Task2-Fungi-4.jpg	paludosa
https://i.ibb.co/CMZ14Tg/Toloka-Img-Task2-Fungi-5.jpg	paludosa
https://i.ibb.co/rt3dBDr/Toloka-Img-Task2-Fungi-6.jpg	paludosa
https://i.ibb.co/b3QwXmK/Toloka-Img-Task2-Fungi-7.jpg	rosea
https://i.ibb.co/Ch7NWgn/Toloka-Img-Task2-Fungi-8.jpg	rosea
https://i.ibb.co/wMM4G2j/Toloka-Img-Task2-Fungi-9.jpg	emetica
https://i.ibb.co/3Wj80Dk/Toloka-Img-Task2-Fungi-10.jpg	paludosa
https://i.ibb.co/MRyFYFj/2238156730-156328-rosea-hard.jpg	rosea	
https://i.ibb.co/jvNzh6Y/2238330932-309495-rosea-hard.jpg	rosea
https://i.ibb.co/WPNSnxS/2238481194-93992-emetica-easy.jpg	emetica
https://i.ibb.co/hcBPG0M/2238516354-99537-emetica-easy.jpg	emetica
https://i.ibb.co/KjZKv3Y/2238561697-331724-rosea-easy.jpg	rosea
https://i.ibb.co/ZSKF28d/2238574628-36357-emetica-hard.jpg	emetica
https://i.ibb.co/BwVYc9S/2238575020-184894-paludosa-easy.jpg	paludosa
https://i.ibb.co/2jjKgWm/2238575170-184918-rosea-hard.jpg	rosea
https://i.ibb.co/GR2jfBR/2825699332-358618-paludosa-easy.jpg	paludosa
https://i.ibb.co/8gxtcFr/2898619349-142255-paludosa-hard.jpg	paludosa
