INPUT:image	GOLDEN:result
https://i.ibb.co/WDVXh1f/emetica-2238417102-313258.jpg	emetica
https://i.ibb.co/rv1SDNF/emetica-2238501805-171333.jpg	emetica
https://i.ibb.co/ygQc9XF/emetica-2238513275-173253.jpg	emetica
https://i.ibb.co/zb2d3BP/emetica-2332528733-42134.jpg	emetica
https://i.ibb.co/xSzCGSk/paludosa-2238217047-308423.jpg	paludosa
https://i.ibb.co/8mCFcBd/paludosa-2238326700-159995.jpg	paludosa
https://i.ibb.co/cJRZkwZ/paludosa-2238471352-316264.jpg	paludosa
https://i.ibb.co/68cXg2S/rosea-2238264571-233726.jpg	rosea
https://i.ibb.co/px0x5Mw/rosea-2238472441-241071.jpg	rosea
https://i.ibb.co/yN0M9R2/rosea-2238549778-31498.jpg	rosea
https://i.ibb.co/HNMGYNH/Toloka-Img-Task2-Fungi-1.jpg	emetica
https://i.ibb.co/DWhSLt0/Toloka-Img-Task2-Fungi-2.jpg	emetica
https://i.ibb.co/Z23ksH7/Toloka-Img-Task2-Fungi-3.jpg	paludosa
https://i.ibb.co/wSQYGGc/Toloka-Img-Task2-Fungi-4.jpg	paludosa
https://i.ibb.co/BNWLsdx/Toloka-Img-Task2-Fungi-5.jpg	paludosa
https://i.ibb.co/h7jJvST/Toloka-Img-Task2-Fungi-6.jpg	rosea
https://i.ibb.co/bd0Yvp4/Toloka-Img-Task2-Fungi-7.jpg	rosea
https://i.ibb.co/wC6VpZP/Toloka-Img-Task2-Fungi-8.jpg	rosea
https://i.ibb.co/BB8cKJ0/Toloka-Img-Task2-Fungi-9.jpg	emetica
https://i.ibb.co/ZW4jzwy/Toloka-Img-Task2-Fungi-10.jpg	paludosa
https://i.ibb.co/r7ZW5X8/emetica-2237963164-79207.jpg	emetica
https://i.ibb.co/fCrFd8K/emetica-2238050814-79885.jpg	emetica
https://i.ibb.co/kmQ0rP3/emetica-2383042580-191644.jpg	emetica
https://i.ibb.co/PQ6Y3TW/paludosa-2237883134-77032.jpg	paludosa
https://i.ibb.co/mvW06tR/paludosa-2237885623-2662.jpg	paludosa
https://i.ibb.co/z68WBmL/paludosa-2238151885-156125.jpg	paludosa
https://i.ibb.co/0GZCSH2/paludosa-2238498044-96507.jpg	paludosa
https://i.ibb.co/tK7MQ9G/rosea-2237896667-300339.jpg	rosea
https://i.ibb.co/h25MDgx/rosea-2238152030-156139.jpg	rosea
https://i.ibb.co/HtZRSXP/rosea-2238555585-181057.jpg	rosea
